,Workout Name,Body Part,Equipment
1969,Holman Slow Weighted Plie Squat,Legs,Dumbbell
1970,Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Abs,Body Only
1971,Holman Slow Weighted Double Pike,Abs,Other
1972,Holman Right Split Lunge,Legs,Body Only
1973,Holman Slow Biceps Curl,Biceps,Dumbbell
1974,Holman Left Split Lunge,Legs,Body Only
1975,Holman Butt Tap to Jump-Forward-Jump-Back,Legs,Body Only
1976,Holman Plyometric Jump,Legs,Body Only
1977,Holman Feet-Elevated Up-Down Elbow Plank,Abs,Body Only
1978,Holman Quad Touch Jump,Legs,Body Only
1979,Holman Feet-Elevated Plank Pike Pull,Abs,Body Only
1980,Holman Chair Triceps Dip,Triceps,Body Only
1981,Holman Skate,Legs,Body Only
1982,Holman Feet-Elevated Alternating Single-Leg Hip Raise,Abs,Body Only
1983,Holman Lunge Jump,Legs,Body Only
1984,Holman Feet-Elevated Plank Pike Pull to Push-Up,Abs,Body Only
1985,Holman Flying Squat Thrust,Legs,Body Only
1986,Holman Standing Heel Click,Abs,Body Only
1987,Holman 90-Degree Jump,Legs,Body Only
1988,Holman Half Jack to 180 Jump,Legs,Body Only
1989,Holman Plate Straight Plank Reach,Abs,Other
1990,Holman Plate Elbow Plank Jack to Straight Plank Jack,Abs,Other
1991,Holman Plate Hill Climber,Abs,Other
1992,Holman Plate Reverse Plank Hill Climber,Abs,Other
1993,Holman Plate Straight Plank Pike to Jack,Abs,Other
1994,Holman Plate In-and-Out Push-Up,Abs,Other
1995,Holman Plate Dynamo Push-Up,Chest,Other
1996,Holman Plate Burpee,Abs,Other
1997,Holman Plate Elbow Plank Reach,Abs,Other
1998,Holman Right Side Plank with Left Triceps Press,Abs,Dumbbell
1999,Holman Straight Plank Right-Left Jack to Split Jack,Abs,Body Only
2000,Holman Left Side Plank with Right Triceps Press,Abs,Dumbbell
2001,Holman Quick Feet to Quad Touch Jump,Legs,Body Only
2002,Holman Traveling High Knees to Squat Thrust,Legs,Body Only
2003,Holman Butt Kicker to High Knees,Legs,Body Only
2004,Holman Elbow Plank Jack to Ninja Knees,Abs,Body Only
2005,Holman Towel Alternating Side Lunge Squat,Legs,Other
2006,Holman Squat Thrust to Push-Up to Super Woman,Legs,Body Only
2007,Holman Jump-Out Push-Up with Hand Hop Back,Chest,Body Only
2008,Holman Boat with Feet Push-Out and Overhead Press,Abs,Dumbbell
2009,Holman Plyometric Jump to 180 Jump,Legs,Body Only
2010,Holman Standing Heel Click to Hands Down Heel Click,Legs,Body Only
2011,Holman Right Side Elbow Plank with Left Leg Swing,Abs,Body Only
2012,Holman Burpee to 180 Jump,Legs,Body Only
2013,Holman Left Side Elbow Plank with Right Leg Swing,Abs,Body Only
2014,Holman Deadlift to Overhead Press,Back,Dumbbell
2015,Holman Right Arm Weighted Half Jack,Back,Dumbbell
2016,Holman Right Leg Right Arm Weighted Pike,Abs,
2017,Holman Left Arm Weighted Half Jack,Back,Dumbbell
2018,Holman Left Leg Left Arm Weighted Pike,Abs,
2019,Holman Traveling Low Jack to Belly Touch,Legs,Body Only
2020,Holman Straight Plank with Alternating Diagonal Sit-Back,Abs,Body Only
2021,Holman Hovering Plank Row,Abs,Dumbbell
2022,Holman Weighted Lunge Jump with Biceps Curl,Legs,Dumbbell
2023,Holman Left Reverse Lunge Chest Press to Left Knee-Up Chest Press,Legs,Dumbbell
2024,Holman Weighted Lunge Jump with Chest Press,Legs,Dumbbell
2025,Holman Boat Press with Leg Extension,Abs,Body Only
2026,Holman Weighted Half Jack to Biceps Curl,Legs,Dumbbell
2027,Holman Weighted Half Jack to Chest Press,Legs,Dumbbell
2028,Holman Lateral High Knees to Quad Touch Jump,Legs,Dumbbell
2029,Holman Shoulder Tap to Dirty Dog,Abs,Body Only
2030,Holman Flying Squat Thrust to Shoulder Tap,Legs,Body Only
2031,Holman Squat Jump to Alternating Side Lunge Jump,Legs,Body Only
2032,Holman Standing Russian Twist,Abs,Body Only
2033,Holman Low Squat with Low Diagonal Dumbbell Punch,Legs,Body Only
2034,Holman Right Leg Hop to Right Reverse Lunge,Legs,Body Only
2035,Holman Left Leg Hop to Left Reverse Lunge,Legs,Body Only
2036,Holman Weighted Seated Killer Abs to Russian Twist,Abs,Dumbbell
2037,Holman Burpee to Open Stance,Legs,Body Only
2038,Holman Hovering Plank with Shoulder Tap,Abs,Body Only
2039,Holman Froggy Push-Up to Donkey Kick,Chest,Body Only
2040,Holman Elbow Plank to Stacked Plank Hip Drop,Abs,Body Only
2041,Holman Elbow Plank to Walk-Up Pike,Abs,Body Only
2042,Bodyweight Triceps Rope Press,Triceps,Body Only
2043,Holman Renegade Row,Back,Dumbbell
2044,Holman Renegade Row with Opposite Foot Step-Out,Back,Dumbbell
2045,Holman Renegade Row to Weighted Burpee,Back,Dumbbell
2046,Holman Renegade Punch-Under,Back,Other
2047,Holman Renegade Row to Split Jump,Back,Other
2048,Holman Renegade Triceps Press,Triceps,
2049,Holman Hill Climber,Abs,Body Only
2050,Holman Hovering Renegade Row,Abs,
2051,Holman Hovering Renegade Triceps Press,Triceps,Dumbbell
2052,Holman Diagonal Squat Thrust to Renegade Forward Punch,Legs,Body Only
2053,Holman 180 Jump to Renegade Side Raise,Legs,Dumbbell
2054,Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl,Legs,Dumbbell
2055,Holman Straight Plank Pike to Renegade Row,Abs,Body Only
2056,Holman Dirty Dog to Renegade Row,Back,Other
2057,Holman Weighted Burpee to Renegade Side Punch,Legs,Other
2058,Holman Heavy Triceps Press to Overhead Press,Triceps,Dumbbell
2059,Holman Elbow Plank to Renegade Row,Abs,Other
2060,Holman Roll-Back to Squat Thrust to Renegade Row,Legs,Dumbbell
2061,Holman Roll-Back to Squat Thrust to Renegade Triceps Press,Legs,Dumbbell
2062,Holman Renegade Row to Side Punch to Forward Punch,Back,Other
2063,Holman Bear Crawl,Legs,Body Only
2064,Holman Alternating Hip Drop to Push-Up,Abs,Body Only
2065,Holman Bear Crawl to Donkey Kick,Legs,Body Only
2066,Holman Push-Up to Sit Back,Chest,Body Only
2067,Holman Bear Crawl to Froggy Push-Up,Legs,Body Only
2068,Holman Crab Kick,Abs,Body Only
2069,Holman Wounded Bear Crawl,Abs,Body Only
2070,Holman Alternating Crab Reach,Abs,Body Only
2071,Holman Bear Crawl to Shoulder Tap,Legs,Body Only
2072,Holman Staggered-Stance Deadlift,Back,Dumbbell
2073,Holman Hovering Panther Core Stabilizer,Abs,Body Only
2074,Holman Burpee to Forward Lunge,Abs,Body Only
2075,Holman Seated Knee Pull-In Series,Abs,Body Only
2076,Holman Burpee to Tuck Jump,Legs,Body Only
2077,Holman Weighted Reverse Lunge to Knee-Up Overhead Press,Legs,Other
2078,Holman Burpee to Flying Squat Thrust to Tuck Jump,Legs,Body Only
2079,Holman Elbow Plank Pike,Abs,Body Only
2080,Holman Heavy Triceps Overhead Press,Triceps,Body Only
2081,Holman Straight Plank Weighted Hand Hill Climber,Abs,Other
2082,Holman Elbow Plank Jack to Straight Plank Split Jack,Abs,Body Only
2083,Holman Forward Lunge to Reverse Lunge,Legs,Body Only
2084,Holman Lunge Jump with Overhead Press,Legs,Other
2085,Holman Boat Pull-Over,Abs,Body Only
2086,Holman Squat Pulse to Plyometric Jump,Abs,Body Only
2087,Holman Weighted Left Side Diagonal Pike,Abs,Other
2088,Holman Weighted Right Side Diagonal Pike,Abs,Other
2089,Holman Renegade Lunge Jump,Legs,Body Only
2090,Holman Weighted Burpee to Belly Touch to Standing T,Legs,Other
2091,Holman Weighted W-Boat to Overhead Press,Abs,Other
2092,Holman Sit Back Push-Up,Chest,Body Only
2093,Holman Squat Jump to Lunge Jump,Legs,Body Only
2094,Holman Prisoner Reverse Lunge,Legs,Body Only
2095,Holman Wide-to-Narrow Squat Jump,Legs,Body Only
2096,Holman Donkey Run,Legs,Body Only
2097,Holman Hands Down Heel Click,Abs,Body Only
2098,Holman Weighted Kneeling Lift,Abs,Other
2099,Holman Weighted Squat Jump,Legs,Other
2100,Holman Hips-Up Weighted Pull-Over,Abs,Other
2101,Holman Weighted Narrow Squat Jump,Legs,Dumbbell
2102,Holman Weighted Wide-to-Narrow Squat Jump,Legs,Body Only
2103,Holman Diagonal Deadlift,Legs,Dumbbell
2104,Holman Straight Plank to Kick-Up,Abs,Body Only
2105,Holman Daisy Cutter,Legs,Body Only
2106,Holman Wide-to-Narrow Donkey Kick,Legs,Body Only
2107,Holman Mule Kick,Legs,Body Only
2108,Holman Frogger,Legs,Body Only
2109,Holman Weighted Plie Squat,Legs,Other
2110,Holman Heels-Elevated Sissy Squat,Legs,Other
2111,Holman Straight Plank Dumbbell Reach-Under,Abs,Dumbbell
2112,Holman Goal Post to Squat,Legs,Body Only
2113,Holman Weighted Cross Punch,Abs,Other
2114,Holman Hip Raise with Chest Press,Legs,Body Only
2115,Holman Squat Jump to Overhead Press,Legs,Other
2116,Holman Straight-Leg Boat Hover Chest Press,Abs,Other
2117,Holman Weighted Pike,Abs,Other
2118,Holman 180 Jump to Overhead Press,Legs,Other
2119,Holman Straight-Arm Side Plank Overhead Press to Chest Press,Abs,Dumbbell
2120,Holman Weighted Double-Arm Cross Punch,Back,Dumbbell
2121,Holman Hands-Elevated Split Jack,Abs,Body Only
2122,Holman Feet-Elevated Plank Reach,Abs,Body Only
2123,Holman Feet-Elevated Wax-On Wax-Off,Abs,Other
2124,Holman Hand-Elevated Side Plank Semicircle,Abs,Body Only
2125,Holman Hands-Elevated Straight Plank Pike,Abs,Body Only
2126,Holman Kettlebell Squat Clean,Legs,Kettlebells
2127,Holman Kettlebell Swing,Legs,Kettlebells
2128,Holman Kettlebell Up to Elbow Down,Abs,Kettlebells
2129,Holman Kettlebell Swing Transfer,Legs,Kettlebells
2130,Holman Weighted Burpee to Row,Legs,Other
2131,Holman Weighted Burpee to 180 Jump,Legs,Other
2132,Holman Weighted Burpee to Triceps Press,Legs,Dumbbell
2133,Holman Weighted Burpee to Pike,Abs,Dumbbell
2134,Holman Alternating Staggered Push-Up,Chest,Body Only
2135,Holman Foot-Up Diving Push-Up,Chest,Body Only
2136,Holman Narrow Push-Up,Chest,Body Only
2137,Holman Dynamo Push-Up,Chest,Body Only
2138,Holman Jump to Push-Up,Chest,Body Only
2139,Holman Deadlift to Front Raise,Back,Dumbbell
2140,Holman Deadlift to Chest Press,Back,Dumbbell
2141,Holman Deadlift to Squat Thrust,Back,Dumbbell
2142,Holman Deadlift to Biceps Curl,Back,Dumbbell
2143,Holman Alternating Rolling Elbow Plank,Abs,Body Only
2144,Holman Elbow Plank Jack,Abs,Body Only
2145,Holman Leg Pike,Abs,
2146,Holman Squat Thrust to Alternating Knee-In,Abs,Body Only
2147,Holman Supine Double Pike,Abs,Body Only
2148,Holman Elbow Plank Alternating Pike,Abs,Body Only
2149,Holman Seated Killer Abs,Abs,Body Only
2150,Holman Elbow Plank to Towel Pike,Abs,Other
2151,Holman Side Plank Hip Drop,Abs,Body Only
2152,Holman Wide Hill Climber,Abs,Body Only
2153,Holman Straight-Legged Bicycle,Abs,Body Only
2154,Holman Frogger Squat to Heel Click,Legs,Body Only
2155,Holman Stair Toe Tap,Abs,Body Only
2156,Holman Elbow Plank Ninja,Abs,Body Only
2157,Holman Traveling Stair Climb Push-Up,Abs,Body Only
2158,Holman Hands-Elevated Burpee,Abs,Body Only
2159,Holman Stair Sprint,Legs,Body Only
2160,Holman Stair Bear Crawl,Legs,Body Only
2161,Holman Straight Plank Donkey Kick,Abs,Body Only
2162,Holman Feet-Elevated Straight Plank Pike Pull,Abs,Body Only
2163,Holman Towel Burpee,Abs,Body Only
2164,Holman Elbow Plank to Alternating Side Plank Crunch,Abs,Body Only
2165,Holman Straight-Legged Hip Raise,Abs,Body Only
2166,Holman Feet-Elevated Hill Climber,Abs,Body Only
2167,Holman Burpee to Flying Squat Thrust,Legs,Body Only
2168,Holman Straight-Legged Boat Chest Press,Abs,Dumbbell
2169,Holman Standing Flat Back Row,Back,Dumbbell
2170,Holman Ninja Knee Hill Climber,Abs,Body Only
2171,Holman Weighted 180 Jump,Legs,Other
2172,Holman Seated Killer Abs Overhead Press,Abs,Other
2173,Holman Weighted Burpee to Side Delt Raise,Abs,Dumbbell
2174,Holman Squat Thrust Overhead Press,Legs,Dumbbell
2175,Holman Flying Squat Thrust to Push-Up,Legs,Body Only
2176,Holman Foot-Elevated Push-Up,Chest,Body Only
2177,Holman Foot-Elevated Step-To-Lunge,Legs,Body Only
2178,Holman Split Lunge,Legs,Body Only
2179,Holman Stair Climb,Legs,Body Only
2180,Holman Weighted Diagonal Pike,Abs,
2181,Holman Right Straight Plank to Kick-Up,Abs,
2182,Holman Weighted Burpee to Chest Press,Legs,Dumbbell
2183,Holman Burpee to Flying Jack,Legs,Body Only
2184,Holman Right Reverse Lunge,Legs,Body Only
2185,Holman Left Reverse Lunge,Legs,Body Only
2186,Holman Squat Tap to Hop,Legs,Body Only
2187,Holman Feet-Elevated Shoulder Tap,Abs,Body Only
2188,Holman Feet-Elevated Hip Raise,Abs,Body Only
2189,Holman Squat Tap to Jump-Forward-Jump-Back,Legs,Body Only
2190,Holman Left Hand Right Foot Crab Reach,Abs,Body Only
2191,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Abs,Body Only
2192,Holman Right Hand Left Foot Sleeping Crab,Abs,Body Only
2193,Holman Left Hand Right Foot Sleeping Crab,Abs,Body Only
2194,Holman Squat to Right-Arm Overhead Press,Legs,Dumbbell
2195,Holman Right Lunge Jump with Right Overhead Press,Legs,Dumbbell
2196,Holman Left Lunge Jump with Left Overhead Press,Legs,Dumbbell
2197,Holman Squat Hip Drive,Legs,Body Only
2198,Holman Heavy Hip Drive,Legs,Dumbbell
2199,Holman Squat to Left-Arm Overhead Press,Legs,Dumbbell
2200,Holman Alternating Double Lunge Hop,Legs,Body Only
2201,Holman Alternating Forward and Side Punch,Back,Body Only
2202,Holman Straight Plank with Alternating Leg Kick-Under,Abs,Body Only
2203,Holman Weighted Lunge Jump to Floor Lunge Jump,Legs,Dumbbell
2204,Holman Right Reverse Lunge to Front Kick,Legs,Body Only
2205,Holman Right Hip Drop Push-Up,Abs,Body Only
2206,Holman Right Leg Forward Lunge Hop,Legs,Body Only
2207,Holman Right Side Diagonal Burpee,Abs,Body Only
2208,Holman Right Squat Thrust,Legs,Body Only
2209,Holman Left Reverse Lunge to Front Kick,Legs,Body Only
2210,Holman Left Hip Drop Push-Up,Abs,Body Only
2211,Holman Left Leg Forward Lunge Hop,Legs,Body Only
2212,Holman Left Side Diagonal Burpee,Legs,Body Only
2213,Holman Left Diagonal Lunge to Overhead Press,Legs,
2214,Holman Left Squat Thrust,Legs,Body Only
2215,Holman Biceps Curl to Chest Punch,Biceps,Dumbbell
2216,Holman Wide Squat Thrust,Legs,Body Only
2217,Holman Right Leg 7-Up Crunch,Abs,Body Only
2218,Holman Left Leg 7-Up Crunch,Abs,Body Only
2219,Holman Straight Plank Jack,Abs,Body Only
2220,Holman Alternating Weighted Lunge Jump to Chest Press,Legs,Dumbbell
2221,Holman Feet-Elevated Couch Hill Climber,Abs,Body Only
2222,Holman Feet-Elevated Push-Up,Chest,Body Only
2223,Holman Feet-Elevated Right Side Plank,Abs,Body Only
2224,Holman Alternating Up-Down Plank to Push-Up,Abs,Body Only
2225,Holman Weighted Narrow-Mid-Wide Hop,Legs,Other
2226,Holman Right Arm Heavy Biceps Curl,Biceps,Dumbbell
2227,Holman Left Arm Heavy Biceps Curl,Biceps,Dumbbell
2228,Holman Alternating Knee Pull-In,Abs,
2229,Holman Weighted Burpee to Overhead Alternating Reverse Lunge,Legs,Dumbbell
2230,Holman Alternating Single-Leg Hop to Squat to 180 Jump,Legs,Body Only
2231,Holman Straight Plank Alternating Weighted Open,Abs,Other
