,Workout Name,Body Part,Equipment
1,Single-Leg Press,Legs,Machine
2,Landmine twist,Abs,Other
3,Weighted pull-up,Back,Other
4,T-Bar Row with Handle,Back,Other
5,Atlas Stones,Back,Other
6,Clean from Blocks,Legs,Barbell
7,Incline Hammer Curls,Biceps,Dumbbell
8,Barbell glute bridge,Legs,Barbell
9,Triceps dip,Triceps,Body Only
10,Barbell Full Squat,Legs,Barbell
11,Barbell deficit deadlift,Back,Barbell
12,Barbell Deadlift,Legs,Barbell
13,Romanian Deadlift With Dumbbells,Legs,Dumbbell
14,Tire flip,Legs,Other
15,Clean Deadlift,Legs,Barbell
16,Elbow plank,Abs,Body Only
17,Bottoms Up,Abs,Body Only
18,Barbell back squat to box,Legs,Barbell
19,Push-press,Legs,Barbell
20,Suspended ab fall-out,Abs,Other
21,Power snatch-,Legs,Barbell
22,Sumo deadlift,Legs,Barbell
23,Hang Clean,Legs,Barbell
24,Dumbbell V-Sit Cross Jab,Abs,Dumbbell
25,Reverse Band Box Squat,Legs,
26,Standing cable low-to-high twist,Abs,Cable
27,Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar
28,Wide-grip barbell curl,Biceps,Barbell
29,Dumbbell spell caster,Abs,Dumbbell
30,Dumbbell floor press,Triceps,Dumbbell
31,Pullups,Back,Body Only
32,Decline reverse crunch,Abs,Other
33,Dumbbell Bench Press,Chest,Dumbbell
34,Jumping rope,Legs,Body Only
35,EZ-bar spider curl,Biceps,Barbell
36,Smith machine shrug,Shoulders,Machine
37,Romanian Deadlift from Deficit,Legs,Barbell
38,Power Snatch,Legs,Barbell
39,Pushups,Chest,Body Only
40,Barbell walking lunge,Legs,Barbell
41,Front Squats With Two Kettlebells,Legs,Kettlebells
42,Spider crawl,Abs,Body Only
43,Power Clean from Blocks,Legs,Barbell
44,Single Leg Push-off,Legs,Other
45,Hip Circles (Prone),Legs,
46,Reverse-grip bent-over row,Back,Barbell
47,Back extension,Back,Body Only
48,Close-grip bench press,Chest,Barbell
49,Cocoons,Abs,Body Only
50,Cross-Body Crunch,Abs,Body Only
51,Dumbbell Flyes,Chest,Dumbbell
52,Hammer Curls,Biceps,Dumbbell
53,Incline dumbbell bench press,Chest,Dumbbell
54,Low-cable cross-over,Chest,Cable
55,Single-arm high-cable side bend,Abs,Cable
56,EZ-Bar Curl,Biceps,E-Z Curl Bar
57,Olympic Squat,Legs,Barbell
58,Natural Glute Ham Raise,Legs,Body Only
59,Axle Deadlift,Back,Other
60,Zottman Curl,Biceps,
61,Glute ham raise-,Legs,None
62,Leverage Shrug,Shoulders,Machine
63,Cable V-bar push-down,Triceps,Cable
64,Stair climber,Legs,Machine
65,Elbow-to-knee crunch,Abs,Body Only
66,Kettlebell Pistol Squat,Legs,Kettlebells
67,Biceps curl to shoulder press,Biceps,Dumbbell
68,Weighted bench dip,Triceps,Body Only
69,Barbell Hip Thrust,Legs,Barbell
70,Forward lunge,Legs,Body Only
71,Barbell Bench Press - Medium Grip,Chest,Barbell
72,Chest dip,Chest,Other
73,Barbell Curl,Biceps,Barbell
74,EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar
75,One-Arm Dumbbell Row,Back,Dumbbell
76,Concentration curl,Biceps,Dumbbell
77,Decline Crunch,Abs,Body Only
78,Decline Dumbbell Flyes,Chest,Dumbbell
79,Hanging toes-to-bar,Abs,Body Only
80,Narrow-stance squat,Legs,Barbell
81,Kneeling cable oblique crunch,Abs,Cable
82,Reverse Grip Triceps Pushdown,Triceps,Cable
83,Bear crawl sled drag,Legs,Other
84,Rocky Pull-Ups/Pulldowns,Back,Other
85,Box Squat with Bands,Legs,Barbell
86,Flexor Incline Dumbbell Curls,Biceps,Dumbbell
87,Thigh adductor,Legs,Machine
88,Machine Bicep Curl,Biceps,Machine
89,Hanging Oblique Knee Raise,Abs,Body Only
90,Bodyweight Flyes,Chest,E-Z Curl Bar
91,Push-Ups - Close Triceps Position,Triceps,Body Only
92,One-Arm Long Bar Row,Back,Barbell
93,Overhead cable curl,Biceps,Cable
94,Incline cable chest fly,Chest,Cable
95,Single-leg depth squat,Legs,Bands
96,Dumbbell suitcase crunch,Abs,Medicine Ball
97,Plate Twist,Abs,Other
98,Single-leg cable hip extension,Legs,Cable
99,Weighted Jump Squat,Legs,Barbell
100,Squat with Chains,Legs,Barbell
101,Gorilla Chin/Crunch,Abs,Body Only
102,Kneeling cable triceps extension,Triceps,Cable
103,Kneeling Cable Crunch With Alternating Oblique Twists,Abs,Cables
104,Bicycling,Legs,Other
105,Weighted Crunches,Abs,Other
106,Single-arm cable triceps extension,Triceps,Cable
107,Barbell roll-out,Abs,Barbell
108,Kneeling cable crunch,Abs,Cable
109,Exercise Ball Pull-In,Abs,Exercise Ball
110,Hanging leg raise,Abs,Body Only
111,Barbell Ab Rollout - On Knees,Abs,Barbell
112,Barbell Squat,Legs,Barbell
113,Decline barbell bench press,Chest,Barbell
114,Dumbbell Bicep Curl,Biceps,Dumbbell
115,Dumbbell Goblet Squat,Legs,Dumbbell
116,Dumbbell squat,Legs,Dumbbell
117,Barbell front squat,Legs,Barbell
118,Close-grip pull-down,Back,Cable
119,Triceps Pushdown - Rope Attachment,Triceps,Cables
120,Side-to-side box skip,Legs,Body Only
121,Seated triceps press,Triceps,Dumbbell
122,Pull-up,Back,Body Only
123,Wide-grip bench press,Chest,Barbell
124,Close-grip EZ-bar curl,Biceps,Barbell
125,T-Bar Row,Back,Other
126,Bent Over Two-Arm Long Bar Row,Back,Barbell
127,Muscle Up,Back,Body Only
128,Incline EZ-bar skullcrusher,Triceps,Barbell
129,Alternating sit-through with crunch,Back,Other
130,Wide-Grip Decline Barbell Bench Press,Chest,Barbell
131,Rower,Back,Machine
132,Snatch Deadlift,Legs,Barbell
133,Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell
134,Lying Leg Curls,Legs,Machine
135,Cross-body hammer curl,Biceps,Dumbbell
136,Shotgun row,Back,Cable
137,Ab Roller,Abs,Other
138,Reverse-grip incline dumbbell bench press,Chest,Dumbbell
139,Leg Press,Legs,Machine
140,Stiff-Legged Dumbbell Deadlift,Legs,Dumbbell
141,Cable Crossover,Chest,Cable
142,Barbell Incline Bench Press Medium-Grip,Chest,Barbell
143,Incline Dumbbell Flyes,Chest,Dumbbell
144,Seated Cable Rows,Back,Cable
145,Tricep Dumbbell Kickback,Triceps,Dumbbell
146,Otis-Up,Abs,Other
147,Mountain climber,Abs,Body Only
148,Ab bicycle,Abs,Body Only
149,Barbell forward lunge,Legs,Barbell
150,3/4 sit-up,Abs,Body Only
151,Exercise ball leg curl,Legs,Exercise Ball
152,Glute bridge,Legs,Body Only
153,Close-Grip Front Lat Pulldown,Back,Cable
154,Dip Machine,Triceps,Cable
155,Incline dumbbell row,Back,Dumbbell
156,Dumbbell Lunges,Legs,Dumbbell
157,Preacher Curl,Biceps,Barbell
158,Reverse crunch,Abs,Body Only
159,Standing Dumbbell Triceps Extension,Triceps,Dumbbell
160,Elliptical trainer,Legs,Machine
161,Bodyweight squat,Legs,Body Only
162,Bent Over Two-Dumbbell Row With Palms In,Back,Dumbbell
163,Hex-bar deadlift,Legs,Other
164,Narrow-stance leg press,Legs,Machine
165,Single-leg glute bridge,Legs,Body Only
166,Barbell Curls Lying Against An Incline,Biceps,Barbell
167,Standing Hip Circles,Legs,Body Only
168,Clam,Legs,
169,Narrow Stance Hack Squats,Legs,Machine
170,Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell
171,Smith machine box squat,Legs,Barbell
172,Drop Push,Chest,Other
173,Upside-down pull-up,Back,Other
174,Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar
175,Close-grip EZ-bar bench press,Chest,E-Z Curl Bar
176,Incline Push-Up,Chest,Body Only
177,Hyperextensions With No Hyperextension Bench,Back,Body Only
178,Parallel Bar Dip,Triceps,Body Only
179,Stairmaster,Legs,Machine
180,Double Leg Butt Kick,Legs,
181,Groiners,Legs,Body Only
182,Neck Press,Chest,Barbell
183,Broad jump,Legs,Body Only
184,Machine Squat,Legs,Machine
185,V-bar pull-up,Back,
186,Ring dip,Triceps,Body Only
187,Standing One-Arm Cable Curl,Biceps,Cable
188,Burpee,Legs,Body Only
189,Double-arm triceps kick-back,Triceps,Dumbbell
190,Dumbbell reverse lunge,Legs,Dumbbell
191,Standing dumbbell shrug,Shoulders,Dumbbell
192,Barbell step-up,Legs,Barbell
193,Feet-elevated bench dip,Triceps,Body Only
194,Bent Over Barbell Row,Back,Barbell
195,Crunches,Abs,Body Only
196,Dumbbell Alternate Bicep Curl,Biceps,Dumbbell
197,Single-arm dumbbell preacher curl,Biceps,Dumbbell
198,Step-up with knee raise,Legs,Body Only
199,Smith machine back squat,Legs,Machine
200,Alternate Incline Dumbbell Curl,Biceps,Dumbbell
201,Standing dumbbell upright row,Shoulders,Dumbbell
202,Incline cable chest press,Chest,Cable
203,Rope climb,Back,Body Only
204,Trail Running/Walking,Legs,Body Only
205,Neutral-grip dumbbell bench press,Chest,Dumbbell
206,Cable Chest Press,Chest,Cable
207,Standing concentration curl,Biceps,Dumbbell
208,Wide-Grip Rear Pull-Up,Back,Body Only
209,Kettlebell pass-through lunge,Legs,Kettlebells
210,Hands-elevated push-up,Chest,Body Only
211,Deadlift with Bands,Back,Barbell
212,Straight-arm rope pull-down,Back,Cable
213,Power clean,Legs,Barbell
214,Hang Snatch,Legs,Barbell
215,Kettlebell sumo deadlift high pull,Shoulders,Kettlebells
216,Calf-Machine Shoulder Shrug,Shoulders,Machine
217,Bench Press - Powerlifting,Triceps,Barbell
218,Goblet Squat,Legs,Kettlebells
219,Behind-the-head skullcrusher,Triceps,Barbell
220,Reverse Cable Curl,Biceps,Cable
221,Dumbbell side bend,Abs,Dumbbell
222,Lat pull-down,Back,Cable
223,Alternating incline dumbbell biceps curl,Biceps,Dumbbell
224,Kettlebell One-Legged Deadlift,Legs,Kettlebells
225,Alternate Hammer Curl,Biceps,Dumbbell
226,Decline Push-Up,Chest,Body Only
227,Captain's chair knee raise,Abs,Other
228,Triceps Pushdown,Triceps,Cable
229,Low cable overhead triceps extension,Triceps,Cable
230,Single-arm cable cross-over,Chest,Cable
231,Seated dumbbell biceps curl,Biceps,Dumbbell
232,Dead bug reach,Abs,Body Only
233,Deadlift with Chains,Back,Barbell
234,Rope Crunch,Abs,Cable
235,Kettlebell thruster,Legs,Kettlebells
236,Single-Arm Push-Up,Chest,Body Only
237,Band Hip Adductions,Legs,Bands
238,Single-arm kettlebell clean,Legs,Kettlebells
239,Preacher Hammer Dumbbell Curl,Biceps,Dumbbell
240,Split Squat with Dumbbells,Legs,Dumbbell
241,Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,
242,Sledgehammer swing,Abs,Other
243,Kneeling Squat,Legs,Barbell
244,Close-grip barbell curl,Biceps,Barbell
245,Box jump,Legs,Other
246,Standing cable crunch,Abs,Cable
247,Leverage Incline Chest Press,Chest,Machine
248,Standing barbell overhead triceps extension,Triceps,Barbell
249,Lying cable triceps extension,Triceps,Cable
250,Crunch - Hands Overhead,Abs,Body Only
251,Leg Extensions,Legs,Machine
252,Close push-up to wide push-up,Chest,Body Only
253,Single-arm dumbbell triceps extension,Triceps,Dumbbell
254,Butterfly,Chest,Machine
255,Decline dumbbell bench press,Chest,Dumbbell
256,V-up,Abs,Body Only
257,Barbell Bulgarian split squat,Legs,Barbell
258,Reverse-grip lat pull-down,Back,Machine
259,Standing Biceps Cable Curl,Biceps,Cable
260,Single-arm cable seated row,Back,Cable
261,Single-arm kettlebell row,Chest,Dumbbell
262,Scissors Jump,Legs,Body Only
263,Wide Stance Stiff Legs,Legs,Barbell
264,Rack Pull with Bands,Back,Barbell
265,Drag curl,Biceps,Barbell
266,Hang Clean - Below the Knees,Legs,Barbell
267,Decline oblique crunch,Abs,None
268,Clean,Legs,Barbell
269,Decline bar press sit-up,Abs,Barbell
270,Kettlebell alternating renegade row,Back,Kettlebells
271,Bosu Ball Cable Crunch With Side Bends,Abs,Cable
272,Stomach Vacuum,Abs,Body Only
273,Hammer Grip Incline DB Bench Press,Chest,Dumbbell
274,Wide-grip hands-elevated push-up,Chest,Body Only
275,Decline Dumbbell Triceps Extension,Triceps,Dumbbell
276,Jumping jack-,Legs,Body Only
277,Push-Ups With Feet On An Exercise Ball,Chest,Body Only
278,Barbell hack squat,Legs,Barbell
279,Feet-elevated push-up,Chest,Body Only
280,Good Morning,Legs,Barbell
281,Leverage Chest Press,Chest,Machine
282,Gironda Sternum Chins,Back,Other
283,Exercise ball crunch,Abs,Exercise Ball
284,Glute Ham Raise,Legs,Machine
285,Russian twist,Abs,Body Only
286,Seated Flat Bench Leg Pull-In,Abs,Weight Bench
287,Barbell shrug,Shoulders,Barbell
288,Flat Bench Lying Leg Raise,Abs,Body Only
289,Hack Squat,Legs,Barbell
290,Dumbbell skullcrusher,Triceps,Dumbbell
291,Man-maker,Back,Dumbbell
292,Pallof press,Abs,Other
293,Knees tucked crunch,Abs,Body Only
294,Straight-arm dumbbell pull-over,Chest,Dumbbell
295,Arms-crossed jump squat,Legs,Body Only
296,Decline Smith Press,Chest,Machine
297,Band Skull Crusher,Triceps,
298,Isometric Wipers,Chest,Body Only
299,Skating,Legs,Other
300,Cable cross-over,Chest,Cable
301,Treadmill running,Legs,Machine
302,One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell
303,Side To Side Chins,Back,Body Only
304,Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell
305,Standing leg swing,Legs,Body Only
306,Clock push-up,Chest,Body Only
307,Machine seated row,Back,Machine
308,Weighted sissy squat,Legs,Other
309,Jog In Place,Legs,
310,One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell
311,Stationary bike,Legs,Machine
312,Dumbbell bent-over row,Back,Dumbbell
313,Barbell thruster,Legs,Barbell
314,Flutter Kicks,Legs,Weight Bench
315,Dumbbell sumo squat,Legs,Dumbbell
316,Superman,Back,Body Only
317,Straight-Arm Pulldown,Back,Cable
318,Barbell stiff-legged deadlift,Legs,Barbell
319,Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells
320,Smith machine bench press,Chest,Machine
321,Dumbbell preacher curl,Biceps,Dumbbell
322,Front Raise And Pullover,Chest,Barbell
323,Dumbbell seated box jump,Legs,Dumbbell
324,Middle Back Shrug,Back,Dumbbell
325,Butt-Ups,Abs,Body Only
326,Band Good Morning (Pull Through),Legs,Bands
327,Bodyweight Reverse Lunge,Legs,Body Only
328,Glute Kickback,Legs,Body Only
329,Treadmill jogging,Legs,Machine
330,Yates Row Reverse Grip,Back,Barbell
331,Linear Acceleration Wall Drill,Legs,Body Only
332,Reverse-grip bench press,Triceps,Barbell
333,Leverage Decline Chest Press,Chest,Machine
334,Chain Handle Extension,Triceps,Other
335,Bench Press with Chains,Triceps,Barbell
336,Bench barbell roll-out,Abs,Barbell
337,Incline Push-Up Depth Jump,Chest,Body Only
338,Push-Up Wide,Chest,Body Only
339,Exercise ball weighted hyperextension,Back,Exercise Ball
340,Barbell behind-the-back shrug,Shoulders,Barbell
341,Lying Supine Dumbbell Curl,Biceps,Dumbbell
342,Machine Preacher Curls,Biceps,Machine
343,Single-arm kneeling lat pull-down,Back,Cable
344,Floor Press,Triceps,Barbell
345,Chest Push (multiple response),Chest,Medicine Ball
346,Feet-elevated oblique crunch,Abs,Body Only
347,Elevated Cable Rows,Back,Cable
348,Incline Dumbbell Flyes - With A Twist,Chest,Dumbbell
349,Cross Over - With Bands,Chest,Bands
350,Split Jerk,Legs,Barbell
351,Cobra Triceps Extension,Triceps,
352,Advanced Kettlebell Windmill,Abs,Kettlebells
353,Rack pull,Back,Barbell
354,Dumbbell step-up,Legs,Dumbbell
355,Smith machine inverted row,Back,Other
356,Bent-arm dumbbell pull-over,Chest,Dumbbell
357,Reverse-grip barbell curl,Biceps,Barbell
358,Standing Cable Wood Chop,Abs,Cable
359,Cable rope hammer curl,Biceps,Cable
360,Single-leg kettlebell deadlift,Legs,Kettlebells
361,Machine chest press,Chest,Machine
362,Supine Chest Throw,Triceps,Medicine Ball
363,Push-jerk,Legs,Barbell
364,One-Arm Kettlebell Row,Back,
365,Mixed Grip Chin,Back,Body Only
366,Alien Squat,Legs,Body Only
367,Barbell back squat,Legs,Barbell
368,Neutral-grip pull-up,Back,Body Only
369,Bodyweight triceps press,Triceps,Body Only
370,Cable reverse crunch,Abs,Cable
371,Cable Hip Adduction,Legs,Cable
372,Butt Kicks,Legs,Body Weight
373,Machine-assisted pull-up,Back,Machine
374,Standing Cable Chest Press,Chest,Cable
375,Lying cable biceps curl,Biceps,Cable
376,Seated Back Extension,Back,Machine
377,Low Cable Triceps Extension,Triceps,Cable
378,Iliotibial band SMR,Legs,Foam Roll
379,Pendlay Row,Back,Barbell
380,Dumbbell Clean,Legs,
381,Seated Bent-Over Two-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
382,Recumbent Bike,Legs,Machine
383,Thigh abductor,Legs,Machine
384,Treadmill walking,Legs,Body Only
385,Romanian Deadlift,Legs,Barbell
386,Box Jump (Multiple Response),Legs,Other
387,Bent-knee reverse crunch,Abs,Body Only
388,Cable overhead triceps extension,Triceps,Cable
389,Smith machine bent-over row,Back,Machine
390,Knee Tuck Jump,Legs,Body Only
391,Cable straight-bar upright row,Shoulders,Cable
392,Seated Good Mornings,Back,Barbell
393,Close-grip dumbbell bench press,Chest,Dumbbell
394,Zercher squat,Legs,Barbell
395,Full Range-Of-Motion Lat Pulldown,Back,Cable
396,Cable Russian Twists,Abs,Cable
397,EZ-bar skullcrusher-,Triceps,E-Z Curl Bar
398,Stiff Leg Barbell Good Morning,Back,Barbell
399,Standing Dumbbell Reverse Curl,Biceps,Dumbbell
400,Lying Close-Grip Barbell Triceps Press To Chin,Triceps,E-Z Curl Bar
401,Tate Press,Triceps,Dumbbell
402,Ab Crunch Machine,Abs,Machine
403,Alternating heel-touch,Abs,Body Only
404,Wall ball toss,Legs,Exercise Ball
405,Smith Machine Incline Bench Press,Chest,Machine
406,Fire Hydrant,Legs,Body Only
407,Hanging wind sprint,Abs,
408,Windmills,Legs,Body Only
409,Bent-arm barbell pull-over,Back,Barbell
410,Sphinx push-up,Chest,Body Only
411,Smith Machine Close-Grip Bench Press,Chest,Machine
412,Palms-out incline biceps curl,Biceps,Dumbbell
413,Rocket Jump,Legs,Body Only
414,Yoke Walk,Legs,Other
415,Romanian Deadlift with Kettlebell,Legs,Kettlebells
416,Smith machine leg press,Legs,Machine
417,Jefferson Squats,Legs,Barbell
418,Single-arm low cable triceps extension,Triceps,Cable
419,Smith machine straight-legged hip raise,Abs,Machine
420,Reverse Hyperextension,Legs,Machine
421,Jerk Dip Squat,Legs,Barbell
422,Kettlebell plyo push-up,Chest,Kettlebells
423,Weighted Sit-Ups - With Bands,Abs,Other
424,Depth jump box jump,Legs,Body Only
425,Bodyweight Walking Lunge,Legs,Body Only
426,Lying Machine Squat,Legs,Machine
427,Seated Leg Curl,Legs,Machine
428,Close-Grip EZ-Bar Curl with Band,Biceps,E-Z Curl Bar
429,Alternating Kettlebell Row,Back,Kettlebells
430,Cable shrug,Shoulders,Cable
431,Pallof press with rotation,Abs,Cable
432,Lying T-Bar Row,Back,Other
433,Band Good Morning,Legs,
434,Kneeling lat pull-down,Back,Cable
435,Standing Bent-Over One-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
436,Overhead squat,Legs,
437,Pistol squat,Legs,Body Only
438,Single-Leg Leg Extension,Legs,
439,Leverage High Row,Back,Machine
440,Medicine ball slam,Back,Medicine Ball
441,Smith machine behind-the-back shrug,Shoulders,Machine
442,Leg-Up Hamstring Stretch,Legs,Body Only
443,Walking High Knees,Legs,Body Only
444,Upright Row - With Bands,Shoulders,Bands
445,Suspended Reverse Crunch,Abs,Body Only
446,Lateral lunge,Legs,Body Only
447,Close-Hands Push-Up,Chest,Body Only
448,Exercise ball hip thrust,Legs,Exercise Ball
449,Barbell side split squat,Legs,Barbell
450,Sumo Deadlift with Chains,Legs,Barbell
451,Frog Sit-Ups,Abs,Mat
452,Kettlebell Windmill,Abs,Kettlebells
453,Seated Leg Press,Legs,Machine
454,Straight-arm plank with biceps curl-,Biceps,Dumbbell
455,Cable Deadlifts,Legs,Cable
456,Board bench press,Chest,Barbell
457,Frankenstein Squat,Legs,Barbell
458,Cable Seated Crunch,Abs,Cable
459,Suspended Reverse Crunch,Abs,Body Only
460,Lateral lunge,Legs,Body Only
461,Close-Hands Push-Up,Chest,Body Only
462,Exercise ball hip thrust,Legs,Exercise Ball
463,Barbell side split squat,Legs,Barbell
464,Sumo Deadlift with Chains,Legs,Barbell
465,Frog Sit-Ups,Abs,Mat
466,Kettlebell Windmill,Abs,Kettlebells
467,Seated Leg Press,Legs,Machine
468,Straight-arm plank with biceps curl-,Biceps,Dumbbell
469,Cable Deadlifts,Legs,Cable
470,Board bench press,Chest,Barbell
471,Frankenstein Squat,Legs,Barbell
472,Cable Seated Crunch,Abs,Cable
473,Kettlebell Figure 8,Abs,Kettlebells
474,Kettlebell Curtsy Lunge,Legs,Kettlebells
475,Single Leg Butt Kick,Legs,
476,Lying bench reverse crunch,Abs,Body Only
477,Side Leg Raises,Legs,Body Only
478,Smith machine Bulgarian split squat,Legs,Machine
479,Barbell speed squat,Legs,Barbell
480,Suspended row,Back,Other
481,Incline Bench Pull,Back,Barbell
482,Around The Worlds,Chest,Dumbbells
483,Tiger-bend push-up,Chest,Body Only
484,Face-down incline dumbbell biceps curl,Biceps,Dumbbell
485,Kneeling Jump Squat,Legs,Barbell
486,Jump Squat,Legs,Body Only
487,Kettlebell Figure 8,Abs,Kettlebells
488,Kettlebell Curtsy Lunge,Legs,Kettlebells
489,Single Leg Butt Kick,Legs,
490,Lying bench reverse crunch,Abs,Body Only
491,Side Leg Raises,Legs,Body Only
492,Smith machine Bulgarian split squat,Legs,Machine
493,Barbell speed squat,Legs,Barbell
494,Suspended row,Back,Other
495,Incline Bench Pull,Back,Barbell
496,Around The Worlds,Chest,Dumbbells
497,Tiger-bend push-up,Chest,Body Only
498,Face-down incline dumbbell biceps curl,Biceps,Dumbbell
499,Kneeling Jump Squat,Legs,Barbell
500,Jump Squat,Legs,Body Only
501,Band-assisted pull-up,Back,Bands
502,Barbell Bench Press-Wide Grip,Chest,Barbell
503,Over bench jump,Legs,Body Only
504,Single-arm side deadlift,Legs,Barbell
505,Sit-up,Abs,Body Only
506,Side Bridge,Abs,Body Only
507,Zottman Preacher Curl,Biceps,
508,Split Jump,Legs,Body Only
509,Plyo push-up,Chest,Body Only
510,Inchworm-,Legs,Body Only
511,Cable rope preacher hammer curl,Biceps,Cable
512,Vertical Swing,Legs,Dumbbell
513,Seated Bent-Over One-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
514,Lying oblique crunch,Abs,Body Only
515,Machine Triceps Extension,Triceps,Machine
516,Janda Sit-Up,Abs,Body Only
517,Sled push-,Legs,Other
518,Seated Dumbbell Inner Biceps Curl,Biceps,Dumbbell
519,Close-grip hands-elevated push-up,Chest,Body Only
520,Barbell Squat To A Bench,Legs,Barbell
521,Standing Inner-Biceps Curl,Biceps,Dumbbell
522,Single-arm kettlebell swing,Legs,Kettlebells
523,Pull Through,Legs,Cable
524,Leg Pull-In,Abs,Body Only
525,Standing Leg Curl,Legs,Machine
526,Lying cable chest fly,Chest,Cable
527,Single-arm pull-down,Back,Machine
528,Side Jackknife,Abs,Body Only
529,Dumbbell Walking Lunge,Legs,Dumbbell
530,Lateral hop,Legs,Body Only
531,Suspended push-up,Chest,Body Only
532,Two-Arm Kettlebell Row,Back,Kettlebells
533,One Arm Floor Press,Triceps,Barbell
534,Kettlebell Pass Between The Legs,Abs,Kettlebells
535,Wide-Grip Decline Barbell Pullover,Chest,Barbell
536,Feet-elevated crunch,Abs,Exercise Ball
537,Smith machine upright row,Shoulders,Machine
538,Smith Machine Decline Press,Chest,Machine
539,Moving Claw Series,Legs,Body Only
540,Single-dumbbell push-up,Chest,Dumbbell
541,Front Cone Hops (or hurdle hops),Legs,Other
542,Weighted Squat,Legs,Other
543,Cable Incline Pushdown,Back,Cable Machine
544,Hip Extension with Bands,Legs,Bands
545,Kipping Muscle Up,Back,Body Only
546,Reverse Plate Curls,Biceps,Other
547,Clean Pull,Legs,Barbell
548,Push Up to Side Plank,Chest,Body Only
549,Lying Close-Grip Bar Curl On High Pulley,Biceps,Cable
550,Behind-the-neck pull-down,Back,Cable
551,Isometric Chest Squeezes,Chest,Body Only
552,Seated leg tuck,Abs,
553,Standing Biceps Stretch,Biceps,Other
554,Incline cable straight-bar triceps extension,Triceps,Cable
555,Groin and Back Stretch,Legs,None
556,Bench skip,Legs,Other
557,Scissor Kick,Abs,Body Only
558,Smith machine pistol squat,Legs,Machine
559,Wide-Stance Leg Press,Legs,
560,Dumbbell Squat To A Bench,Legs,Dumbbell
561,Floor rope climb,Back,Other
562,Smith machine stiff-legged deadlift,Legs,Machine
563,Single-arm kettlebell overhead squat,Legs,Kettlebells
564,Barbell Side Bend,Abs,Barbell
565,90-degree jump squat,Legs,Body Only
566,Pin Presses,Triceps,Barbell
567,Backward Drag,Legs,Other
568,Toe Touchers,Abs,Body Only
569,Alternate Leg Diagonal Bound,Legs,None
570,Sled Push,Legs,Other
571,Clean Shrug,Shoulders,Barbell
572,Barbell squat with plate slide,Legs,Other
573,Monster Walk,Legs,Body Only
574,Barbell Guillotine Bench Press,Chest,Barbell
575,Standing Toe Touches,Legs,
576,Lying groin stretch with band,Legs,Body Only
577,Standing Hamstring and Calf Stretch,Legs,Bands
578,Side-to-side push-up,Chest,Body Only
579,Piriformis SMR,Legs,Foam Roll
580,Scapular Pull-Up,Shoulders,None
581,Lower Back Curl,Abs,Body Only
582,One-Arm Flat Bench Dumbbell Flye,Chest,Dumbbell
583,Suspended split squat,Legs,Other
584,Straight Bar Bench Mid Rows,Back,Barbell
585,Standing hip extension,Legs,Body Only
586,Standing Towel Triceps Extension,Triceps,Body Only
587,Weighted Ball Side Bend,Abs,Exercise Ball
588,Atlas Stone Trainer,Back,Other
589,Inverted Row with Straps,Back,Other
590,Extended Range One-Arm Kettlebell Floor Press,Chest,Kettlebells
591,Bent Press,Abs,Kettlebells
592,Lying Hamstring,Legs,Other
593,Dumbbell Tricep Extension -Pronated Grip,Triceps,Dumbbell
594,One Arm Chin-Up,Back,Other
595,Intermediate Hip Flexor and Quad Stretch,Legs,Other
596,Snatch Shrug,Shoulders,Barbell
597,Barbell seal row,Back,Barbell
598,Sit Squats,Legs,None
599,Kettlebell alternating floor press,Chest,Kettlebells
600,Hip Lift with Band,Legs,Bands
601,Forward Drag with Press,Chest,Other
602,Medicine Ball Chest Pass,Chest,Medicine Ball
603,Lying hamstring stretch with band,Legs,None
604,One Arm Against Wall,Back,Body Only
605,Catch and Overhead Throw,Back,Medicine Ball
606,Smith Machine Hang Power Clean,Legs,
607,Lying High Bench Barbell Curl,Biceps,Barbell
608,Squats - With Bands,Legs,Bands
609,Dynamic chest stretch,Chest,
610,Rhomboids SMR,Back,Body Only
611,Chain Press,Chest,Other
612,Skip,Legs,Body Only
613,Hamstring-SMR,Legs,Foam Roll
614,Bench Press - With Bands,Chest,Bands
615,Tricep Side Stretch,Triceps,Body Only
616,Kneeling hip flexor stretch,Legs,Body Only
617,Hug A Ball,Back,Body Only
618,Quadriceps SMR,Legs,Foam Roll
619,Upper Back-Leg Grab,Legs,None
620,Dancer's Stretch,Back,None
621,Spinal Stretch,Back,Body Only
622,Front Barbell Squat To A Bench,Legs,Barbell
623,Child's pose,Back,Body Only
624,Kettlebell Dead Clean,Legs,Kettlebells
625,Seated Hamstring,Legs,None
626,Iron Crosses (stretch),Legs,Body Only
